uid,title,types,sourceTypes,source,names,links,citations,identifiers,keywords
BCI:BCI19634300025273,Studies on the significance of flies in the transmission of poliomyelitis. VI. On the influence of the icosaeonic climatic fluctuation on the incidence of poliomyelitis and on the occurence of Lucilia species in Finland,['Article'],['Article'],"{'sourceTitle': 'ANN ENT FENNICI', 'publishYear': 1960, 'volume': '26', 'issue': '(4)', 'pages': {'range': '273-280', 'begin': '273', 'end': '280', 'count': 8}}","{'authors': [{'displayName': 'NUORTEVA, PEKKA'}]}",{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=BCI:BCI19634300025273&DestLinkType=FullRecord&DestApp=BCI'},"[{'db': 'WOK', 'count': 1}]",{},{'authorKeywords': []}
WOS:A19618153A00003,INFLUENCE OF CLIMATE ON METABOLIC AND THERMAL RESPONSES OF INFANT CARIBOU,['Article'],['Article'],"{'sourceTitle': 'CANADIAN JOURNAL OF ZOOLOGY - BACK YEAR PROJECT', 'publishYear': 1961, 'volume': '39', 'issue': '6', 'pages': {'range': '845-+', 'begin': '845', 'end': '+', 'count': 1}}","{'authors': [{'displayName': 'HART, JS', 'wosStandard': 'HART, JS', 'researcherId': 'CUF-5890-2022'}, {'displayName': 'MILLS, CA', 'wosStandard': 'MILLS, CA', 'researcherId': 'NYM-8753-2025'}, {'displayName': 'HEROUX, O', 'wosStandard': 'HEROUX, O', 'researcherId': 'CTZ-1053-2022'}, {'displayName': 'COTTLE, WH', 'wosStandard': 'COTTLE, WH', 'researcherId': 'EST-5551-2022'}]}","{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A19618153A00003&DestLinkType=FullRecord&DestApp=WOS_CPL', 'references': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A19618153A00003&DestLinkType=CitedReferences&DestApp=WOS', 'related': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A19618153A00003&DestLinkType=RelatedRecords&DestApp=WOS_CPL'}","[{'db': 'WOK', 'count': 38}]",{'doi': '10.1139/z61-079'},{'authorKeywords': []}
WOS:A1961CAU8800007,MORPHOLOGY OF A BAUXITE SUMMIT IN GHANA,['Article'],['Article'],"{'sourceTitle': 'GEOGRAPHICAL JOURNAL', 'publishYear': 1961, 'volume': '127', 'issue': '4', 'pages': {'range': '469-&', 'begin': '469', 'end': '&', 'count': 0}}","{'authors': [{'displayName': 'HUNTER, JM', 'wosStandard': 'HUNTER, JM', 'researcherId': 'CUN-0796-2022'}]}","{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A1961CAU8800007&DestLinkType=FullRecord&DestApp=WOS_CPL', 'references': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A1961CAU8800007&DestLinkType=CitedReferences&DestApp=WOS', 'related': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A1961CAU8800007&DestLinkType=RelatedRecords&DestApp=WOS_CPL'}","[{'db': 'WOK', 'count': 2}]","{'doi': '10.2307/1792800', 'issn': '0016-7398'}",{'authorKeywords': []}
WOS:A19614349A00004,RELATION OF CLIMATE TO RESPIRATORY ALLERGY,['Article'],['Article'],"{'sourceTitle': 'ANNALS OF ALLERGY', 'publishYear': 1961, 'volume': '19', 'issue': '1', 'pages': {'range': '29-+', 'begin': '29', 'end': '+', 'count': 1}}","{'authors': [{'displayName': 'ORDMAN, D', 'wosStandard': 'ORDMAN, D', 'researcherId': 'FRE-6158-2022'}]}","{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A19614349A00004&DestLinkType=FullRecord&DestApp=WOS_CPL', 'references': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A19614349A00004&DestLinkType=CitedReferences&DestApp=WOS', 'related': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A19614349A00004&DestLinkType=RelatedRecords&DestApp=WOS_CPL'}","[{'db': 'WOK', 'count': 12}]","{'issn': '0003-4738', 'pmid': '13731113'}",{'authorKeywords': []}
BCI:BCI19644500072000,"The effect of climatic conditions on seed germination Referat. Zhur., Biol., 1963, No. 15V138. (Translation)",['Article'],['Article'],"{'sourceTitle': 'BYUL GL BOT SADA AKAD NAUK SSSR', 'publishYear': 1962, 'volume': '46', 'pages': {'range': '58-69', 'begin': '58', 'end': '69', 'count': 12}}","{'authors': [{'displayName': 'POPTSOV, A. V.'}]}",{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=BCI:BCI19644500072000&DestLinkType=FullRecord&DestApp=BCI'},"[{'db': 'WOK', 'count': 0}]",{},{'authorKeywords': []}
WOS:A1962CBM3400003,AN AGRICULTURAL STUDY OF THE SOUTHERN MAYA LOWLANDS,['Article'],['Article'],"{'sourceTitle': 'AMERICAN ANTHROPOLOGIST', 'publishYear': 1962, 'volume': '64', 'issue': '2', 'pages': {'range': '273-286', 'begin': '273', 'end': '286', 'count': 14}}","{'authors': [{'displayName': 'COWGILL, UM', 'wosStandard': 'COWGILL, UM', 'researcherId': 'ESN-1684-2022'}]}","{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A1962CBM3400003&DestLinkType=FullRecord&DestApp=WOS_CPL', 'references': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A1962CBM3400003&DestLinkType=CitedReferences&DestApp=WOS', 'related': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A1962CBM3400003&DestLinkType=RelatedRecords&DestApp=WOS_CPL'}","[{'db': 'WOK', 'count': 109}]","{'doi': '10.1525/aa.1962.64.2.02a00030', 'issn': '0002-7294'}",{'authorKeywords': []}
BCI:BCI19654600045342,Climate and forest diseases,['Article'],['Article'],"{'sourceTitle': 'ANN REV PHYTOPATHOL', 'publishYear': 1963, 'volume': '1', 'pages': {'range': '31-50', 'begin': '31', 'end': '50', 'count': 20}}","{'authors': [{'displayName': 'HEPTING, GEORGE H.'}]}",{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=BCI:BCI19654600045342&DestLinkType=FullRecord&DestApp=BCI'},"[{'db': 'WOK', 'count': 59}]",{'doi': '10.1146/annurev.py.01.090163.000335'},{'authorKeywords': []}
BCI:BCI19644500017214,On the classification of latosols and tropical brown earths of high-rainfall areas,['Article'],['Article'],"{'sourceTitle': 'SOIL SCI', 'publishYear': 1963, 'volume': '96', 'issue': '(3)', 'pages': {'range': '210-216', 'begin': '210', 'end': '216', 'count': 7}}","{'authors': [{'displayName': 'HARRIS, STUART A.'}]}",{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=BCI:BCI19644500017214&DestLinkType=FullRecord&DestApp=BCI'},"[{'db': 'WOK', 'count': 3}]",{'doi': '10.1097/00010694-196309000-00010'},{'authorKeywords': []}
BCI:BCI19664700019089,Some observa-tions on the influence of nitrogen fertilizer applied at seedling on the nitrogen content of the wheat grain,['Article'],['Article'],"{'sourceTitle': 'AUSTRALIAN J EXP AGR ANIM HUSB', 'publishYear': 1964, 'volume': '4', 'issue': '(15)', 'pages': {'range': '345-351', 'begin': '345', 'end': '351', 'count': 7}}","{'authors': [{'displayName': 'RUSSELL, J. S.'}]}",{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=BCI:BCI19664700019089&DestLinkType=FullRecord&DestApp=BCI'},"[{'db': 'WOK', 'count': 13}]",{'doi': '10.1071/EA9640345'},{'authorKeywords': []}
BCI:BCI19654600037164,Vegetational and environmental variations in the ecosystems of the Coastal western hemlock zone,['Article'],['Article'],"{'sourceTitle': 'DBS ABSTR', 'publishYear': 1964, 'volume': '25', 'issue': '(4)', 'pages': {'range': '2192-2193', 'begin': '2192', 'end': '2193', 'count': 2}}","{'authors': [{'displayName': 'ORLOCI, LASZLO'}]}",{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=BCI:BCI19654600037164&DestLinkType=FullRecord&DestApp=BCI'},"[{'db': 'WOK', 'count': 0}]",{},{'authorKeywords': []}
ZOOREC:ZOOR10100014651,Das Gotlandschaf.,['Article'],['Article'],"{'sourceTitle': 'Zeitschrift fuer Saugietierkunde', 'publishYear': 1964, 'volume': '29', 'pages': {'range': '129-145', 'begin': '129', 'end': '145', 'count': 17}}","{'authors': [{'displayName': 'Ekman, S.'}]}",{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=ZOOREC:ZOOR10100014651&DestLinkType=FullRecord&DestApp=ZOOREC'},"[{'db': 'WOK', 'count': 0}]",{},{'authorKeywords': []}
MEDLINE:14169680,[THE EFFECT OF CLIMATE CHANGES UPON THE EVOLUTION OF RHEUMATOID ARTHRITIS].,['Article'],['Journal Article'],"{'sourceTitle': 'Revista medica de Chile', 'publishYear': 1964, 'publishMonth': 'Mar', 'volume': '92', 'pages': {'range': '180-3', 'begin': '180', 'end': '3'}}","{'authors': [{'displayName': 'HOLLANDER, J L'}]}",{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=MEDLINE:14169680&DestLinkType=FullRecord&DestApp=MEDLINE'},"[{'db': 'WOK', 'count': 2}]","{'issn': '0034-9887', 'pmid': '14169680'}",{'authorKeywords': []}
WOS:A19643059C00132,PLEISTOCENE WOOD RAT MIDDENS + CLIMATIC CHANGE IN MOHAVE DESERT - RECORD OF JUNIPER WOODLANDS,['Article'],['Article'],"{'sourceTitle': 'SCIENCE', 'publishYear': 1964, 'volume': '143', 'issue': '361', 'pages': {'range': '1171-+', 'begin': '1171', 'end': '+', 'count': 0}}","{'authors': [{'displayName': 'WELLS, PV', 'wosStandard': 'WELLS, PV', 'researcherId': 'GJB-6078-2022'}, {'displayName': 'JORGENSEN, CD', 'wosStandard': 'JORGENSEN, CD', 'researcherId': 'JSR-6963-2023'}]}","{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A19643059C00132&DestLinkType=FullRecord&DestApp=WOS_CPL', 'references': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A19643059C00132&DestLinkType=CitedReferences&DestApp=WOS', 'related': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A19643059C00132&DestLinkType=RelatedRecords&DestApp=WOS_CPL'}","[{'db': 'WOK', 'count': 76}]","{'doi': '10.1126/science.143.3611.1171', 'issn': '0036-8075', 'eissn': '1095-9203', 'pmid': '17833902'}",{'authorKeywords': []}
WOS:A19656350600004,COMPARISON OF CLIMATE AND SPECIFIC HYPOSENSITIZATION TREATMENT IN ASTHMATIC CHILDREN - A FOLLOW-UP STUDY,['Article'],['Article'],"{'sourceTitle': 'ACTA ALLERGOLOGICA', 'publishYear': 1965, 'volume': '20', 'issue': '2', 'pages': {'range': '105-+', 'begin': '105', 'end': '+', 'count': 1}}","{'authors': [{'displayName': 'CERNELC, D', 'wosStandard': 'CERNELC, D', 'researcherId': 'EQK-1782-2022'}]}","{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A19656350600004&DestLinkType=FullRecord&DestApp=WOS_CPL', 'references': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A19656350600004&DestLinkType=CitedReferences&DestApp=WOS', 'related': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A19656350600004&DestLinkType=RelatedRecords&DestApp=WOS_CPL'}","[{'db': 'WOK', 'count': 3}]","{'doi': '10.1111/j.1398-9995.1965.tb03361.x', 'issn': '0001-5148'}",{'authorKeywords': []}
BCI:BCI19664700045574,The changing mile,['Book'],['Book'],"{'publishYear': 1965, 'pages': {}}","{'authors': [{'displayName': 'HASTINGS, JAMES R.'}, {'displayName': 'TURNER, RAYMOND M.'}]}",{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=BCI:BCI19664700045574&DestLinkType=FullRecord&DestApp=BCI'},"[{'db': 'WOK', 'count': 0}]",{},{'authorKeywords': []}
MEDLINE:5905027,[The effect of bread on the cholesterol level of the blood serum in west European diet patterns].,['Article'],['Journal Article'],"{'sourceTitle': 'Nederlands tijdschrift voor geneeskunde', 'publishYear': 1966, 'publishMonth': 'Feb', 'volume': '110', 'issue': '8', 'pages': {'range': '372-7', 'begin': '372', 'end': '7'}}","{'authors': [{'displayName': 'de Wijn, J F'}, {'displayName': 'Pikaar, N A'}, {'displayName': 'van Staveren, W A'}]}",{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=MEDLINE:5905027&DestLinkType=FullRecord&DestApp=MEDLINE'},"[{'db': 'WOK', 'count': 0}]","{'issn': '0028-2162', 'pmid': '5905027'}",{'authorKeywords': []}
WOS:A19679257400010,INDICES FOR EXPRESSING DIFFERENCES IN LOCAL CLIMATES DUE TO FOREST COVER AND TOPOGRAPHIC DIFFERENCES,['Article'],['Article'],"{'sourceTitle': 'FOREST SCIENCE', 'publishYear': 1967, 'volume': '13', 'issue': '1', 'pages': {'range': '60-+', 'begin': '60', 'end': '+', 'count': 1}}","{'authors': [{'displayName': 'JACKSON, MT', 'wosStandard': 'JACKSON, MT', 'researcherId': 'CVA-5174-2022'}, {'displayName': 'NEWMAN, JE', 'wosStandard': 'NEWMAN, JE', 'researcherId': 'MKX-6376-2025'}]}","{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A19679257400010&DestLinkType=FullRecord&DestApp=WOS_CPL', 'references': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A19679257400010&DestLinkType=CitedReferences&DestApp=WOS', 'related': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A19679257400010&DestLinkType=RelatedRecords&DestApp=WOS_CPL'}","[{'db': 'WOK', 'count': 4}]","{'issn': '0015-749X', 'eissn': '1938-3738'}",{'authorKeywords': []}
WOS:A19679382600006,POSTGLACIAL-GLACIAL CHANGE IN CLIMATE IN INDIAN OCEAN,['Article'],['Article'],"{'sourceTitle': 'NATURE', 'publishYear': 1967, 'volume': '214', 'issue': '5091', 'pages': {'range': '873-&', 'begin': '873', 'end': '&', 'count': 0}}","{'authors': [{'displayName': 'CONOLLY, JR', 'wosStandard': 'CONOLLY, JR', 'researcherId': 'CLM-4214-2022'}]}","{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A19679382600006&DestLinkType=FullRecord&DestApp=WOS_CPL', 'references': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A19679382600006&DestLinkType=CitedReferences&DestApp=WOS', 'related': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A19679382600006&DestLinkType=RelatedRecords&DestApp=WOS_CPL'}","[{'db': 'WOK', 'count': 8}]","{'doi': '10.1038/214873a0', 'issn': '0028-0836'}",{'authorKeywords': []}
ZOOREC:ZOOR10400018993,"Etude des popula-tions de Simulium damnosum Theobald,1903 (Diptera: Simuliidae) en zones de gites non permanents. III. Cor-relation possible entre certains phenomenes meteorolo-iques et 1a reapparition des femelies en debut de saison des pluies",['Article'],['Article'],"{'sourceTitle': 'Bulletin de la Societe de Pathologie Exotique', 'publishYear': 1967, 'volume': '60', 'pages': {'range': '79-95', 'begin': '79', 'end': '95', 'count': 17}}","{'authors': [{'displayName': 'Ovazza, M.'}, {'displayName': 'Renard, J.'}, {'displayName': 'Balay, G.'}]}",{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=ZOOREC:ZOOR10400018993&DestLinkType=FullRecord&DestApp=ZOOREC'},"[{'db': 'WOK', 'count': 7}]",{'pmid': '5631027'},{'authorKeywords': []}
WOS:A1968C255900001,MAN MOA AND FOREST,['Article'],['Article'],"{'sourceTitle': 'TRANSACTIONS OF THE ROYAL SOCIETY OF NEW ZEALAND-GENERAL', 'publishYear': 1968, 'volume': '2', 'issue': '7', 'pages': {'range': '115-&', 'begin': '115', 'end': '&', 'count': 0}}","{'authors': [{'displayName': 'SIMMONS, DR', 'wosStandard': 'SIMMONS, DR', 'researcherId': 'DQU-0719-2022'}]}","{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A1968C255900001&DestLinkType=FullRecord&DestApp=WOS_CPL', 'references': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A1968C255900001&DestLinkType=CitedReferences&DestApp=WOS', 'related': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A1968C255900001&DestLinkType=RelatedRecords&DestApp=WOS_CPL'}","[{'db': 'WOK', 'count': 4}]",{},{'authorKeywords': []}
BCI:BCI196950089368,ADVANTAGE OF SOIL COVERING WITH POLY ETHYLENE IN PINEAPPLE-M CULTIVATION IN A WET ZONE,['Article'],['Article'],"{'sourceTitle': 'Fruits (Paris)', 'publishYear': 1968, 'volume': '23', 'issue': '3', 'pages': {'range': '139-140', 'begin': '139', 'end': '140', 'count': 2}}",{'authors': [{'displayName': 'PY C'}]},{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=BCI:BCI196950089368&DestLinkType=FullRecord&DestApp=BCI'},"[{'db': 'WOK', 'count': 1}]",{'issn': '0248-1294'},{'authorKeywords': []}
WOS:A1968C177600016,OXYGEN-18 CONTENT OF ATMOSPHERIC PRECIPITATION DURING LAST 11000 YEARS IN GREAT LAKES REGION,['Article'],['Article'],"{'sourceTitle': 'SCIENCE', 'publishYear': 1968, 'volume': '162', 'issue': '3857', 'pages': {'range': '994-&', 'begin': '994', 'end': '&', 'count': 0}}","{'authors': [{'displayName': 'STUIVER, M', 'wosStandard': 'STUIVER, M', 'researcherId': 'DZZ-5481-2022'}]}","{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A1968C177600016&DestLinkType=FullRecord&DestApp=WOS_CPL', 'references': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A1968C177600016&DestLinkType=CitedReferences&DestApp=WOS', 'related': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A1968C177600016&DestLinkType=RelatedRecords&DestApp=WOS_CPL'}","[{'db': 'WOK', 'count': 37}]","{'doi': '10.1126/science.162.3857.994', 'issn': '0036-8075', 'pmid': '5725384'}",{'authorKeywords': []}
WOS:A1969E399100010,CLIMATIC CHANGES IN SOUTHERN CONNECTICUT RECORDED BY POLLEN DEPOSITION AT ROGERS LAKE,['Article'],['Article'],"{'sourceTitle': 'ECOLOGY', 'publishYear': 1969, 'volume': '50', 'issue': '3', 'pages': {'range': '409-&', 'begin': '409', 'end': '&', 'count': 0}}","{'authors': [{'displayName': 'DAVIS, MB', 'wosStandard': 'DAVIS, MB', 'researcherId': 'CMR-1776-2022'}]}","{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A1969E399100010&DestLinkType=FullRecord&DestApp=WOS_CPL', 'references': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A1969E399100010&DestLinkType=CitedReferences&DestApp=WOS', 'related': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A1969E399100010&DestLinkType=RelatedRecords&DestApp=WOS_CPL'}","[{'db': 'WOK', 'count': 236}]","{'doi': '10.2307/1933891', 'issn': '0012-9658'}",{'authorKeywords': []}
WOS:A1969E023300023,"POLAR MIGRATION, SEA-FLOOR SPREADING, ATOLLS AND CLIMATE CHANGE",['Abstract'],['Meeting Abstract'],"{'sourceTitle': 'TECTONOPHYSICS', 'publishYear': 1969, 'volume': '7', 'issue': '5-6', 'pages': {'range': '545-+', 'begin': '545', 'end': '+', 'count': 1}}","{'authors': [{'displayName': 'FAIRBRIDGE, RW', 'wosStandard': 'FAIRBRIDGE, RW', 'researcherId': 'ESR-1037-2022'}]}",{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A1969E023300023&DestLinkType=FullRecord&DestApp=WOS_CPL'},"[{'db': 'WOK', 'count': 1}]","{'doi': '10.1016/0040-1951(69)90028-6', 'issn': '0040-1951', 'eissn': '1879-3266'}",{'authorKeywords': []}
WOS:A1970H939400009,PINYON AND JUNIPER INVASION IN BLACK SAGEBRUSH COMMUNITIES IN EAST-CENTRAL NEVADA,['Article'],['Article'],"{'sourceTitle': 'ECOLOGY', 'publishYear': 1970, 'volume': '51', 'issue': '5', 'pages': {'range': '841-+', 'begin': '841', 'end': '+', 'count': 1}}","{'authors': [{'displayName': 'BLACKBURN, WH', 'wosStandard': 'BLACKBURN, WH', 'researcherId': 'CGW-8567-2022'}, {'displayName': 'TUELLER, PT', 'wosStandard': 'TUELLER, PT', 'researcherId': 'GFI-4734-2022'}]}","{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A1970H939400009&DestLinkType=FullRecord&DestApp=WOS_CPL', 'references': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A1970H939400009&DestLinkType=CitedReferences&DestApp=WOS', 'related': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A1970H939400009&DestLinkType=RelatedRecords&DestApp=WOS_CPL'}","[{'db': 'WOK', 'count': 155}]","{'doi': '10.2307/1933976', 'issn': '0012-9658', 'eissn': '1939-9170'}",{'authorKeywords': []}
WOS:A1970H646000058,CARBON DIOXIDE AND ITS ROLE IN CLIMATE CHANGE,['Article'],['Article'],"{'sourceTitle': 'PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA', 'publishYear': 1970, 'volume': '67', 'issue': '2', 'pages': {'range': '898-&', 'begin': '898', 'end': '&', 'count': 0}}","{'authors': [{'displayName': 'BENTON, GS', 'wosStandard': 'BENTON, GS', 'researcherId': 'CEG-9243-2022'}]}",{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A1970H646000058&DestLinkType=FullRecord&DestApp=WOS_CPL'},"[{'db': 'WOK', 'count': 24}]","{'doi': '10.1073/pnas.67.2.898', 'issn': '0027-8424', 'pmid': '5289026'}",{'authorKeywords': []}
WOS:A1971K834200007,FORESTS OF JORDAN,['Article'],['Article'],"{'sourceTitle': 'ECONOMIC BOTANY', 'publishYear': 1971, 'volume': '25', 'issue': '3', 'pages': {'range': '305-&', 'begin': '305', 'end': '&', 'count': 0}}","{'authors': [{'displayName': 'ATKINSON, K', 'wosStandard': 'ATKINSON, K', 'researcherId': 'IBF-9372-2023'}, {'displayName': 'BEAUMONT, P', 'wosStandard': 'BEAUMONT, P'}]}","{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A1971K834200007&DestLinkType=FullRecord&DestApp=WOS_CPL', 'references': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A1971K834200007&DestLinkType=CitedReferences&DestApp=WOS', 'related': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A1971K834200007&DestLinkType=RelatedRecords&DestApp=WOS_CPL'}","[{'db': 'WOK', 'count': 9}]","{'doi': '10.1007/BF02860765', 'issn': '0013-0001'}",{'authorKeywords': []}
WOS:A1971K227100005,CLIMATE CHANGE,['Letter'],['Letter'],"{'sourceTitle': 'SCIENCE', 'publishYear': 1971, 'volume': '173', 'issue': '4001', 'pages': {'range': '982-+', 'begin': '982', 'end': '+', 'count': 0}}","{'authors': [{'displayName': 'BARRETT, EW', 'wosStandard': 'BARRETT, EW', 'researcherId': 'EKU-1181-2022'}]}","{'record': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A1971K227100005&DestLinkType=FullRecord&DestApp=WOS_CPL', 'references': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A1971K227100005&DestLinkType=CitedReferences&DestApp=WOS', 'related': 'https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=systematicreviewapplication&SrcAuth=WosAPI&KeyUT=WOS:A1971K227100005&DestLinkType=RelatedRecords&DestApp=WOS_CPL'}","[{'db': 'WOK', 'count': 0}]",{'issn': '0036-8075'},{'authorKeywords': []}
