UID,DOI,Title,Year,Journal,Authors
BCI:BCI19361000019780,N/A,climatic changes and their effect on fresh-water molluscs,1934,TRANS ROY SOC S AFRICA,"CAWSTON, F. G."
WOS:000204618100041,N/A,climate change in europe,1935,PETERMANNS MITTEILUNGEN,"Gams, H."
WOS:000203693200001,10.2307/1787502,desiccation and the west african colonies,1938,GEOGRAPHICAL JOURNAL,"Jones, Brynmor"
WOS:000200263600016,10.1007/BF01488824,vegetation-development and climate-change in the mid-european late-ice-age and post-ice-age,1939,NATURWISSENSCHAFTEN,"Firbas, F"
BCI:BCI19411500000089,N/A,"paleoecology of a montane peat deposit at bonaparte lake, washington",1940,NORTHWEST SCI,"HANSEN, HENRY P."
BCI:BCI19411500021208,10.2307/1948457,vegetation of roan mountain: a phytosociological and successional study,1941,ECOL MONOGR,"BROWN, D. M."
WOS:000204548400003,N/A,climate change and variability,1941,PETERMANNS GEOGRAPHISCHE MITTEILUNGEN,"Meinardus, W."
ZOOREC:ZOOR07900025094,N/A,past climatic changes and seabird speciation. [phylogeny of the prions.],1942,Australian Journal of Science,"Fleming, O. A."
WOS:000204673100002,N/A,"is eustacy, sea level-fluctuation caused by climate-change?",1942,PETERMANNS GEOGRAPHISCHE MITTEILUNGEN,"Schwinner, Robert"
MEDLINE:17744857,10.1126/science.95.2473.515,indications as to climatic changes from the timberline of mount washington.,1942,"Science (New York, N.Y.)","Griggs, R F"
MEDLINE:19992570,N/A,thoughts on the origin of influenza epidemics. [abridged]: president's address.,1942,Proceedings of the Royal Society of Medicine,"Andrewes, C H"
BCI:BCI19431700017888,N/A,a land policy for the americas,1943,AGRICULTURE IN THE AMERICAS,"Atkinson, Alfred"
WOS:000200255200001,10.2475/ajs.241.8.469,soil phenomena as evidence of climatic changes.,1943,AMERICAN JOURNAL OF SCIENCE,"Bryan, K; Albritton, CC Jr"
BCI:BCI19462000004398,10.1111/j.1469-8137.1945.tb05026.x,the structure and reproduction of the virgin forest of the north temperate zone,1945,NEW PHYTOL,"Jones, E. W."
BCI:BCI19472100015349,N/A,growth and bearing habits of coffea arabica in kenya and in southern india,1946,EAST AFRICAN AGRIC JOUR,"Rayner, R. W."
ZOOREC:ZOOR08300006794,N/A,regulation of the density of the insect-populations in virgin-forests and cultivated woods.,1946,Archives Neerlandaises de Zoologie Leiden,"Voute, A. D."
MEDLINE:18900635,N/A,dangers of climate change.,1947,Schweizerische medizinische Wochenschrift,"NEERGAARD, K V"
WOS:A1948XT01100002,10.1017/S0031182000083517,the ecology of immature phases of trichostrongyle nematodes .1. the vertical distribution of infective larvae of trichostrongylus-retortaeformis in relation to their habitat,1948,PARASITOLOGY,"CROFTON, HD"
MEDLINE:18099825,N/A,about indications of climate change in asthma therapy.,1948,La Presse thermale et climatique,BERT
BCI:BCI19502400029018,N/A,discussions: post-glacial climate change,1949,QUART JOUR ROY METEOROL SOC [LONDON],ANONYMOUS
BCI:BCI19532700015282,N/A,the significance of the mallee habit in eucalyptus,1950,PROC ROY SOC QUEENSLAND,"BURBIDGE, N. T."
BCI:BCI19512500031536,N/A,some comparisons of skin diseases in different climates and races,1951,JOUR TROP MED AND HYG,"CLARKE, G. H."
WOS:A1951XS23900013,10.1017/S0007485300025438,the ecology of epidemic sleeping sickness .1. the significance of location,1951,BULLETIN OF ENTOMOLOGICAL RESEARCH,"MORRIS, KRS"
MEDLINE:13024712,N/A,[oversensitivity toward weather and climate changes and its therapy].,1952,Medizinische Klinik,"NITSCHKOFF, S"
BCI:BCI19563000008555,N/A,forest colonization after recent volcanicity at west taupo,1953,NEW ZEALAND JOUR FOREST,"McKELVEY, P. J."
MEDLINE:13175697,N/A,"[shock and climate change at the mineral, sea water therapy spa ].",1953,Maroc medical,"BARRAUD, G"
WOS:A1954XS24800013,10.1017/S0007485300029643,"an investigation of the distribution and field habits of the varied carpet beetle, anthrenus-verbasci (l) (col dermestidae) in britain, with comparative notes on a-fuscus ol and a-museorum (l)",1954,BULLETIN OF ENTOMOLOGICAL RESEARCH,"WOODROFFE, GE; SOUTHGATE, BJ"
BCI:BCI19552900010336,N/A,forest spread and climatic change in uganda during the christian era,1954,EMPIRE FOREST REV,"DALE, IVAN R."
BCI:BCI19552900015625,N/A,remarkable occurrence of parasites in central europe from a climatic viewpoint,1954,ZEITSCHR PFLANZENKRANKH,"PSCHORN-WALCHER, H."
WOS:A1956XM35100002,10.2307/2256825,ecology of alnus-glutinosa (l) gaertn .6. post-glacial history,1956,JOURNAL OF ECOLOGY,"MCVEAN, DN"
WOS:A1957CCR8800004,10.2307/276135,climate change and culture history in the grand-canyon region,1957,AMERICAN ANTIQUITY,"SCHWARTZ, DW"
BCI:BCI19593300034856,N/A,yield of sediment in relation to mean annual precipitation,1958,TRANS AMER GEOPHYS UNION,"LANGBEIN, W. B.; SCHUMM, S. A."
WOS:A1958WB50100001,N/A,environmental factors in respiratory disease,1958,LANCET,"REID, DD"
WOS:A1958WB50200001,N/A,environmental factors in respiratory disease,1958,LANCET,"REID, DD"
BCI:BCI19603500065637,N/A,relative constancy of habitat in woodland communities at different altitudes in the north-western thuringer wald,1959,BER DEUTSCH BOT GES,"SCHLUTER, H."
WOS:A1959CJT8500004,10.1080/00221345908983256,panofskys theories of climate change,1959,JOURNAL OF GEOGRAPHY,"WARMAN, HJ"
WOS:A1959CAU7800001,10.2307/1791881,the influence of climatic changes on animals and plants,1959,GEOGRAPHICAL JOURNAL,"CRISP, DJ"
BCI:BCI19634300025273,N/A,studies on the significance of flies in the transmission of poliomyelitis. vi. on the influence of the icosaeonic climatic fluctuation on the incidence of poliomyelitis and on the occurence of lucilia species in finland,1960,ANN ENT FENNICI,"NUORTEVA, PEKKA"
WOS:A19618153A00003,10.1139/z61-079,influence of climate on metabolic and thermal responses of infant caribou,1961,CANADIAN JOURNAL OF ZOOLOGY - BACK YEAR PROJECT,"HART, JS; MILLS, CA; HEROUX, O; COTTLE, WH"
WOS:A1961CAU8800007,10.2307/1792800,morphology of a bauxite summit in ghana,1961,GEOGRAPHICAL JOURNAL,"HUNTER, JM"
WOS:A19614349A00004,N/A,relation of climate to respiratory allergy,1961,ANNALS OF ALLERGY,"ORDMAN, D"
BCI:BCI19644500072000,N/A,"the effect of climatic conditions on seed germination referat. zhur., biol., 1963, no. 15v138. (translation)",1962,BYUL GL BOT SADA AKAD NAUK SSSR,"POPTSOV, A. V."
WOS:A1962CBM3400003,10.1525/aa.1962.64.2.02a00030,an agricultural study of the southern maya lowlands,1962,AMERICAN ANTHROPOLOGIST,"COWGILL, UM"
BCI:BCI19654600045342,10.1146/annurev.py.01.090163.000335,climate and forest diseases,1963,ANN REV PHYTOPATHOL,"HEPTING, GEORGE H."
BCI:BCI19644500017214,10.1097/00010694-196309000-00010,on the classification of latosols and tropical brown earths of high-rainfall areas,1963,SOIL SCI,"HARRIS, STUART A."
BCI:BCI19664700019089,10.1071/EA9640345,some observa-tions on the influence of nitrogen fertilizer applied at seedling on the nitrogen content of the wheat grain,1964,AUSTRALIAN J EXP AGR ANIM HUSB,"RUSSELL, J. S."
BCI:BCI19654600037164,N/A,vegetational and environmental variations in the ecosystems of the coastal western hemlock zone,1964,DBS ABSTR,"ORLOCI, LASZLO"
ZOOREC:ZOOR10100014651,N/A,das gotlandschaf.,1964,Zeitschrift fuer Saugietierkunde,"Ekman, S."
MEDLINE:14169680,N/A,[the effect of climate changes upon the evolution of rheumatoid arthritis].,1964,Revista medica de Chile,"HOLLANDER, J L"
WOS:A19643059C00132,10.1126/science.143.3611.1171,pleistocene wood rat middens + climatic change in mohave desert - record of juniper woodlands,1964,SCIENCE,"WELLS, PV; JORGENSEN, CD"
WOS:A19656350600004,10.1111/j.1398-9995.1965.tb03361.x,comparison of climate and specific hyposensitization treatment in asthmatic children - a follow-up study,1965,ACTA ALLERGOLOGICA,"CERNELC, D"
BCI:BCI19664700045574,N/A,the changing mile,1965,N/A,"HASTINGS, JAMES R.; TURNER, RAYMOND M."
MEDLINE:5905027,N/A,[the effect of bread on the cholesterol level of the blood serum in west european diet patterns].,1966,Nederlands tijdschrift voor geneeskunde,"de Wijn, J F; Pikaar, N A; van Staveren, W A"
WOS:A19679257400010,N/A,indices for expressing differences in local climates due to forest cover and topographic differences,1967,FOREST SCIENCE,"JACKSON, MT; NEWMAN, JE"
WOS:A19679382600006,10.1038/214873a0,postglacial-glacial change in climate in indian ocean,1967,NATURE,"CONOLLY, JR"
ZOOREC:ZOOR10400018993,N/A,"etude des popula-tions de simulium damnosum theobald,1903 (diptera: simuliidae) en zones de gites non permanents. iii. cor-relation possible entre certains phenomenes meteorolo-iques et 1a reapparition des femelies en debut de saison des pluies",1967,Bulletin de la Societe de Pathologie Exotique,"Ovazza, M.; Renard, J.; Balay, G."
WOS:A1968C255900001,N/A,man moa and forest,1968,TRANSACTIONS OF THE ROYAL SOCIETY OF NEW ZEALAND-GENERAL,"SIMMONS, DR"
BCI:BCI196950089368,N/A,advantage of soil covering with poly ethylene in pineapple-m cultivation in a wet zone,1968,Fruits (Paris),PY C
WOS:A1968C177600016,10.1126/science.162.3857.994,oxygen-18 content of atmospheric precipitation during last 11000 years in great lakes region,1968,SCIENCE,"STUIVER, M"
WOS:A1969E399100010,10.2307/1933891,climatic changes in southern connecticut recorded by pollen deposition at rogers lake,1969,ECOLOGY,"DAVIS, MB"
WOS:A1969E023300023,10.1016/0040-1951(69)90028-6,"polar migration, sea-floor spreading, atolls and climate change",1969,TECTONOPHYSICS,"FAIRBRIDGE, RW"
WOS:A1970H939400009,10.2307/1933976,pinyon and juniper invasion in black sagebrush communities in east-central nevada,1970,ECOLOGY,"BLACKBURN, WH; TUELLER, PT"
WOS:A1970H646000058,10.1073/pnas.67.2.898,carbon dioxide and its role in climate change,1970,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,"BENTON, GS"
WOS:A1971K834200007,10.1007/BF02860765,forests of jordan,1971,ECONOMIC BOTANY,"ATKINSON, K; BEAUMONT, P"
WOS:A1971K227100005,N/A,climate change,1971,SCIENCE,"BARRETT, EW"
WOS:A1971J747500003,10.1029/EO052i007p00500,extended industrial revolution and climate change,1971,TRANSACTIONS-AMERICAN GEOPHYSICAL UNION,"FRISKEN, WR"
WOS:A1971K570900004,10.1130/0016-7606(1971)82[2741:CCITNP]2.0.CO;2,climate change in north pacific using ice-rafted detritus as a climatic indicator,1971,GEOLOGICAL SOCIETY OF AMERICA BULLETIN,"KENT, D; OPDYKE, ND; EWING, M"
BCI:BCI197253009796,N/A,contributions to the quaternary history of the new-zealand flora part 6 aranuian pollen diagrams from canterbury nelson and north westland south island,1971,New Zealand Journal of Botany,MOAR N T
WOS:A1971L098200003,10.1080/00221347108981908,global climate change and impact of a maximum sea level on coastal settlement,1971,JOURNAL OF GEOGRAPHY,"KOPEC, RJ"
BCI:BCI197152124253,10.2307/1550194,invasion of subalpine meadows by trees in the cascade range washington and oregon,1971,Arctic and Alpine Research,FRANKLIN J F; MOIR W H; DOUGLAS G W; WIBERG C
WOS:A1971K091900011,N/A,pollution and world - fuel choices in 21st century,1971,EEI BULLETIN,"WILSON, CL"
WOS:A1971K227100004,10.1126/science.173.4001.982-a,climate change,1971,SCIENCE,"GAST, PF"
BCI:BCI197355007219,N/A,on the vegetation of the hunua ranges auckland new-zealand,1972,New Zealand Journal of Botany,BARTON I L
WOS:A1972M481200010,N/A,variations in basal metabolic rate responses to changes between tropical and temperate climates,1972,HUMAN BIOLOGY,"MASON, ED; JACOB, M"
WOS:A1973P101200089,N/A,mankind as a factor in climate change,1973,TRANSACTIONS-AMERICAN GEOPHYSICAL UNION,"KELLOGG, WW"
WOS:A1973R586800021,10.1038/246453a0,"planetary alignments, solar-activity and climatic change",1973,NATURE,"GRIBBIN, J"
WOS:A1974T738300006,10.1016/0094-5765(74)90009-5,earths climate as seen from space,1974,ACTA ASTRONAUTICA,"KELLOGG, WW"
WOS:A1974S339800203,N/A,time-space pattern of climate change in atlantic-ocean,1974,TRANSACTIONS-AMERICAN GEOPHYSICAL UNION,"RUDDIMAN, WF"
WOS:A1974S957500024,10.1139/v74-234,climatic effects of stratospheric chemistry,1974,CANADIAN JOURNAL OF CHEMISTRY,"DICKINSON, RE"
WOS:A1974T276700021,10.1126/science.184.4144.1367,fossil plants and coal - patterns of change in pennsylvanian coal swamps of illinois basin,1974,SCIENCE,"PHILLIPS, TL; PEPPERS, RA; AVCIN, MJ; LAUGHNAN, PF"
WOS:A1974V609400008,10.1016/0094-5765(74)90083-6,possibilities of remote-sensing to determine parameters needed for climate change studies,1974,ACTA ASTRONAUTICA,"BOLLE, HJ"
WOS:A1974V370000003,10.1175/1520-0477(1974)055<1454:TDOTIC>2.0.CO;2,de-ventis of theophrastus - its contributions to theory of winds,1974,BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY,"COUTANT, V; EICHENLAUB, V"
BCI:BCI197612056312,N/A,a concept of equisetales phylogeny a short report,1975,Courier Forschungsinstitut Senckenberg,LEISTIKOW K U
WOS:A1975AH08700001,N/A,global climate change - investigation of atmospheric feedback mechanisms,1975,TELLUS,"CESS, RD"
WOS:A1975AA50200007,10.1126/science.188.4188.535,"weather variability, climatic change, and grain production",1975,SCIENCE,"THOMPSON, LM"
WOS:A1975AP06000003,10.1029/RG013i004p00475,stratospheric aerosol-particles and their optical-properties,1975,REVIEWS OF GEOPHYSICS,"CADLE, RD; GRAMS, GW"
WOS:A1975AQ30000007,10.1175/1520-0450(1975)014<1037:AOSDOP>2.0.CO;2,application of soil dust optical-properties in analytical models of climate change,1975,JOURNAL OF APPLIED METEOROLOGY,"RUSSELL, PB; GRAMS, GW"
WOS:A1975AZ91200002,10.1016/0011-7471(75)90078-9,quaternary climate change as revealed by calcium-carbonate fluctuations in western equatorial atlantic sediments,1975,DEEP-SEA RESEARCH,"DAMUTH, JE"
BCI:BCI197865063284,N/A,tsetse fly distribution in upper-volta africa effects of the severe drought of 1972-1973,1976,Cahiers O.R.S.T.O.M. (Office de la Recherche Scientifique et Technique Outre-Mer) Serie Entomologie Medicale et Parasitologie,LAVEISSIERE C
BCI:BCI197763051931,N/A,affinities between the west palearctic and ethiopian butterfly faunas,1976,Tijdschrift voor Entomologie,DE JONG R
WOS:A1976BV29700007,10.1016/0305-4403(76)90034-0,variation in chemical composition of bone as an indicator of climatic change,1976,JOURNAL OF ARCHAEOLOGICAL SCIENCE,"ROTTLANDER, RCA"
WOS:A1976BV49000008,N/A,climate change and quality of life for earths new millions,1976,PROCEEDINGS OF THE AMERICAN PHILOSOPHICAL SOCIETY,"ROBERTS, WO"
BCI:BCI197763068658,N/A,forest types of waitutu state forest new-zealand and adjoining areas,1976,New Zealand Journal of Forestry,NICHOLLS J L
BCI:BCI197763003653,N/A,paleo carpologic study of quaternary deposits in the valea mare sector turbuta salaj district,1976,Studia Universitatis Babes-Bolyai Geologia-Geographia,CLICHICI O; GHIURCA V; DRAGOS I
WOS:A1976BC68700014,10.1126/science.191.4225.353,shellfish eating pre-ceramic indians in coastal brazil,1976,SCIENCE,"FAIRBRIDGE, RW"
WOS:A1976BZ10500005,10.1126/science.193.4252.447,global cooling,1976,SCIENCE,"DAMON, PE; KUNEN, SM"
WOS:A1976CJ60000001,10.1175/1520-0469(1976)033<1831:CCAAOA>2.0.CO;2,climate change - appraisal of atmospheric feedback mechanisms employing zonal climatology,1976,JOURNAL OF THE ATMOSPHERIC SCIENCES,"CESS, RD"
WOS:A1976CN68700029,10.1126/science.194.4271.1329,north polar region of mars - imaging results from viking 2,1976,SCIENCE,"CUTTS, JA; BLASIUS, KR; BRIGGS, GA; CARR, MH; GREELEY, R; MASURSKY, H"
WOS:A1977DG48000004,10.1016/0002-1571(77)90044-9,effect of weather and technology on wheat yields in oregon,1977,AGRICULTURAL METEOROLOGY,"PITTER, RL"
WOS:A1977DW27900006,N/A,stratigraphical and palynological evidence for desertification in great indian desert,1977,ANNALS OF ARID ZONE,"SINGH, G"
WOS:A1977DW27900005,N/A,climatic changes relating to desertification in arid zone of north-west india,1977,ANNALS OF ARID ZONE,"KRISHNAN, A"
BCI:BCI197764070489,N/A,results of spore pollen analysis of cimmerian deposits of the kerch peninsula ukrainian-ssr ussr,1977,Ukrayins'kyi Botanichnyi Zhurnal,SHCHEKINA N O
WOS:A1977DZ53500002,10.1016/0377-8398(77)90017-2,"stable isotopic fractionation, climate change and episodic stagnation in eastern mediterranean during late quaternary",1977,MARINE MICROPALEONTOLOGY,"VERGNAUDGRAZZINI, C; RYAN, WBF; CITA, MB"
WOS:A1977DP36300126,N/A,stratospheric influence on heat-transfer by ultra-long stationary waves in troposphere mechanism for climate change,1977,TRANSACTIONS-AMERICAN GEOPHYSICAL UNION,"BATES, JR"
WOS:A1977EC66400017,10.1175/1520-0469(1977)034<1826:R>2.0.CO;2,comments on climate change - appraisal of atmospheric feedback mechanisms employing zonal climatology - reply,1977,JOURNAL OF THE ATMOSPHERIC SCIENCES,"CESS, RD"
WOS:A1977DH41000016,N/A,"symposium on climate change modeling (september 13-22, 1976, tashkent)",1977,IZVESTIYA AKADEMII NAUK SSSR FIZIKA ATMOSFERY I OKEANA,"GANDIN, LS"
WOS:A1977DE65900451,N/A,mars - climate change and atmosphere-regolith co2 exchange,1977,TRANSACTIONS-AMERICAN GEOPHYSICAL UNION,"FANALE, FP; CANNON, WA"
WOS:A1977DG56800003,N/A,agricultural implications of climatic change,1977,JOURNAL OF SOIL AND WATER CONSERVATION,"MORAN, JM; DUGAS, WA; OLSON, R"
WOS:A1977CS68800165,N/A,can congress deal with climate change,1977,BULLETIN OF THE AMERICAN PHYSICAL SOCIETY,"MOSS, TH"
BCI:BCI197967013714,N/A,the ecology plant geographic position and origin of the flora of the canary islands,1977,Beitraege zur Biologie der Pflanzen,LOETSCHERT W
BCI:BCI197815027837,N/A,an analysis of inflammatory processes of the respiratory tract in hospitalized united-nations expeditionary force soldiers in 1974-1977,1977,Bulletin of the Institute of Maritime and Tropical Medicine in Gdynia,PLUSA T
WOS:A1977DA12800003,10.2307/1550408,estimation of recent climate change in irianjaya by numerical modeling of its tropical glaciers,1977,ARCTIC AND ALPINE RESEARCH,"ALLISON, I; KRUSS, P"
WOS:A1977CU15900022,10.1038/265430a0,"global climate change during 13,500-bp gothenburg geomagnetic excursion",1977,NATURE,"FAIRBRIDGE, RW"
WOS:A1977DU15400002,10.1007/BF00162775,climate change and world predicament - case-study for interdisciplinary research,1977,CLIMATIC CHANGE,"SCHNEIDER, SH"
WOS:A1977EC66400018,10.1175/1520-0469(1977)034<1827:OTNLOC>2.0.CO;2,noise-level of climate models,1977,JOURNAL OF THE ATMOSPHERIC SCIENCES,"FRANKIGNOUL, C"
WOS:A1977EC66400016,10.1175/1520-0469(1977)034<1824:COCAAO>2.0.CO;2,comments on climate change - appraisal of atmospheric feedback mechanisms employing zonal climatology,1977,JOURNAL OF THE ATMOSPHERIC SCIENCES,"HOYT, DV"
WOS:A1978EQ75700003,10.2307/20039915,what might man-induced climate change mean,1978,FOREIGN AFFAIRS,"COOPER, CF"
BCI:BCI197968029292,N/A,latitude and longitude disjunctions in the ranges of eurasian dragonflies odonata insecta and their origin,1978,Izvestiya Sibirskogo Otdeleniya Akademii Nauk SSSR Seriya Biologicheskikh Nauk,BELYSHEV B F; KHARITONOV A YU
WOS:A1978FM37300001,10.1175/1520-0450(1978)017<1101:TROSWY>2.0.CO;2,response of spring wheat yield to anomalous climate sequences in united-states,1978,JOURNAL OF APPLIED METEOROLOGY,"STARR, TB; KOSTROW, PI"
WOS:A1978ES70800456,N/A,blocking as a mechanism in dynamics of climate change,1978,TRANSACTIONS-AMERICAN GEOPHYSICAL UNION,"FREEMAN, JC"
BCI:BCI197968001710,N/A,ecto parasites of small mammals and inhabitants of their nests in virgin and cultivated biotopes in relation to the agricultural activity of man,1978,Vestnik Zoologii,SKLYAR V E
ZOOREC:ZOOR11500025372,N/A,the phlebotomine sandflies (diptera: psychodidae) of the oriental region.,1978,BULLETIN OF THE BRITISH MUSEUM (NATURAL HISTORY) ENTOMOLOGY SUPPLEMENT,"Lewis, D.J."
WOS:A1978FY55000005,N/A,ocean temperatures - precursors of climate change,1978,OCEANUS,"BARNETT, TP"
WOS:A1978EJ29600005,10.1109/TGE.1978.294524,global air-pollution and climate change,1978,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,"KELLOGG, WW; SCHNEIDER, SH"
WOS:A1978EN18400032,10.1038/272043a0,sand deserts during glacial maximum and climatic optimum,1978,NATURE,"SARNTHEIN, M"
WOS:A1978FA47900007,10.1086/649697,"stable isotope geochemistry of speleothems and cave waters from flint ridge-mammoth cave system, kentucky - implications for terrestrial climate change during period 230,000 to 100,000 years bp",1978,JOURNAL OF GEOLOGY,"HARMON, RS; SCHWARCZ, HP; FORD, DC"
MEDLINE:649429,N/A,[the possibility of climate change due to the increasing co2 content in the atmosphere].,1978,Hippokrates,"Georgii, H W"
WOS:A1978FF15200014,10.1175/1520-0469(1978)035<1111:IAECCC>2.0.CO;2,internally and externally caused climate change,1978,JOURNAL OF THE ATMOSPHERIC SCIENCES,"ROBOCK, A"
MEDLINE:754267,N/A,[diseases related to group tours. combined spanish-scottish study].,1978,Revista de sanidad e higiene publica,"Reid, D; Grist, N R; Najera, R"
WOS:A1978FH82200038,10.1038/274356a0,neolithic hyperarid period preceded present climate of central sahel,1978,NATURE,"DUMONT, HJ"
WOS:A1978FM75300020,10.1029/WR014i004p00679,climate change - detection and its impact on hydrologic design,1978,WATER RESOURCES RESEARCH,"LETTENMAIER, DP; BURGES, SJ"
WOS:A1978FT30200030,10.1038/275630a0,explosive volcanic eruption in southern-hemisphere in 1928,1978,NATURE,"HOYT, DV"
WOS:A1978FY38700001,10.1029/RG016i004p00465,climate modeling through radiative-convective models,1978,REVIEWS OF GEOPHYSICS,"RAMANATHAN, V; COAKLEY, JA"
WOS:A1978FX03200029,10.1038/276339a0,mechanisms and models of climatic change,1978,NATURE,"SHUTTS, GJ; GREEN, JSA"
WOS:A1978GB85500001,10.2475/ajs.278.10.1345,"gondwanan glaciation, cyclothems, continental positioning, and climate change",1978,AMERICAN JOURNAL OF SCIENCE,"CROWELL, JC"
WOS:A1979HV05900009,10.1098/rstb.1979.0065,decline of the desert-locust plague in the 1960s - control operations or natural causes,1979,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,"RAINEY, RC; BETTS, E; LUMLEY, A; LAMB, HH; GUNN, DL; HEMMING, CF; WALOFF, Z; JOYCE, RJV; YEO, D"
WOS:A1979HU49500002,N/A,extinction and extirpation in the herpetofauna of the southern high-plains with emphasis on geochelone-wilsoni (testudinidae),1979,HERPETOLOGICA,"MOODIE, KB; VANDEVENDER, TR"
WOS:A1979GZ34500007,N/A,tempering and tampering with the orchard climate,1979,GARTENBAUWISSENSCHAFT,"STANHILL, G"
WOS:A1979GN79700007,10.1016/0033-5894(79)90073-5,"multivariate statistical estimates of holocene vegetation and climate change, forest-tundra transition zone, nwt, canada",1979,QUATERNARY RESEARCH,"KAY, PA"
WOS:A1979GC48800002,N/A,"climate change, solar-cycles, and seasonal weather trends",1979,AGRICULTURAL ENGINEERING,"NEWMAN, JE"
WOS:A1979GJ85200005,10.1098/rsta.1979.0011,greenhouse effects of some atmospheric constituents,1979,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,"HOUGHTON, JT"
WOS:A1979GT49500012,10.1175/1520-0469(1979)036<0519:OTROZA>2.0.CO;2,role of zonal asymmetries in climate change,1979,JOURNAL OF THE ATMOSPHERIC SCIENCES,"HARTMANN, DL; SHORT, DA"
WOS:A1979GM63500036,10.1038/278243a0,"radiocarbon date from lake bogoria, kenya rift valley",1979,NATURE,"YOUNG, JAT; RENAUT, RW"
