PMID,Title,Abstract,Year,Authors,Journal
40973657,Leaf water storage determines foliar water uptake capacity along the isohydric-anisohydric continuum.,"Foliar water uptake (FWU) capacity of more anisohydric species is significantly higher than that of relatively isohydric species, yet the underlying mechanisms remain unclear. While leaf nutrient elements may modulate the FWU process, this relationship remains understudied. In this study, we investigated four typical species from the arid region of northwest China and measured their FWU parameters along with various associated traits. The results showed obvious differences in FWU capacity and traits along the isohydric-anisohydric continuum, with more anisohydric species exhibiting higher FWU capacity. Structural equation modeling revealed that leaf water storage structures were the primary factor contributing to the high FWU capacity in more anisohydric species (total effect = 0.25), followed by epidermal traits (total effect = 0.18). Leaf phosphorus affected FWU indirectly via leaf water storage structures (standardized path coefficient = 0.35). This study reveals key drivers and mechanisms underlying the FWU capacity of more anisohydric species, providing a theoretical framework for plant water use strategies in arid environments. It also helps to predict the water adaptation strategies of different plant functional types under future climate change scenarios.",2025,Hui-Min Wang; Zhou-Kang Li; Guang-Hui Lv; Ming-Shan Xu; Xiao-Dong Yang,Tree physiology
40973611,InDel variation and contraction of the C-repeat binding factor family contribute to cold sensitivity in Betula fujianensis.,"Betula species exhibit exceptional cold tolerance, yet the evolutionary drivers of their cold adaptation remain unclear. Betula fujianensis, a subtropical member of this genus, is an ideal model to investigate the evolution of cold adaptation. Here, we present a nearly telomere-to-telomere genome assembly and identify a ten-fold reduction in nucleotide diversity in the extant B. fujianensis population compared to its temperate relatives (B. pendula and B. platyphylla). This decrease in nucleotide diversity was driven by two historical population declines during global cooling periods. B. fujianensis exhibits heightened sensitivity to low temperatures, associated with a contracted C-repeat binding factor (CBF) gene family and a 185-bp insertion in the DREB and EAR motif protein 1 (DEAR1) promoter, which enhances its expression. We demonstrate that DEAR1 is a negative regulator of CBF expression in a negative feedback loop. Collectively, our results identify the DEAR1-CBF interplay as an important regulatory module for cold adaptation. Our findings shed light on plant cold adaptation mechanisms and provide critical genomic resources to guide conservation strategies for this climate-vulnerable species under global climate change.",2025,Hebi Zhuang; Erpei Lin; Jianbo Xie; Mei Jiang; Fei Ni; Shuaibin Shi; Meng Liu; Siyu Miao; Ming Wei; Chenghao Li; Jiming Liu; Xiaojuan Liu; Xian-Ge Hu; Wenwu Wu; Jarkko Salojärvi; Huahong Huang,The Plant cell
40973575,Nanobotic microbiomes against emerging vascular pathogens in agriculture.,"Vascular diseases in plants are exceptionally difficult to control. Escalating global climate change further increases the risks of outbreaks from existing and emerging pathogens. Nano-enabled microbiome engineering (NME) represents an innovative framework for targeted vascular plant pathogen control, offering a sustainable platform to enhance agricultural resilience and productivity.",2025,Ayesha Ahmed; Yongmei Li; Yueqiu He; Dake Zhao; Shahzad Munir; Rajender S Varma,Trends in biotechnology
40973574,Microbial tools and regulatory innovations for climate-resilient winemaking.,"Climate-induced acidity loss threatens wine quality, prompting sustainable microbial acidification strategies using Lachancea thermotolerans. This yeast naturally reduces pH and ethanol, aligns with consumer preferences, and benefits from omics-driven selection and enabling policy frameworks. Adaptation requires coordinated biotechnological innovation, institutional backing, and clear consumer communication to maintain sustainability and competitiveness.",2025,Javier Vicente; Santiago Benito; Domingo Marquina; Antonio Santos,Trends in biotechnology
40973377,"Evaluating the health and well-being effects of increasing biodiversity within multiple small parks in Edinburgh, UK: a protocol for a mixed-methods, longitudinal, pre-post natural experiment.","Recent legislation in the UK regarding requirements for new developments to increase biodiversity may have significant implications for the environment and population health. Despite this, relatively little is known regarding the health and social benefits of increasing biodiversity in densely populated urban areas. This protocol outlines plans for a mixed-method, longitudinal, natural experiment study which will evaluate the planned, biodiversity-focused redevelopment of six small urban parks in Edinburgh, Scotland (UK). Using systematic observation (at baseline, 1 month post-intervention and 1 year post-baseline) and a longitudinal household survey (at baseline and 1 year post-baseline), the primary outcomes of personal well-being, and secondary outcomes of nature connectedness and park usage behaviours, will be assessed, respectively. Consent for data linkage of respondent's health records will also be sought. Process evaluation will employ semi-structured, qualitative interviews with stakeholders and walk-along interviews with local residents in order to understand implementation processes. Space-related well-being will also be assessed using citizen science approaches. This study was approved by the University of Edinburgh's School of Health in Social Sciences ethics committee. This study will provide further evidence for policymakers, the public and researchers of the health and social well-being effects of urban biodiversity interventions. Study findings will be disseminated via public forums such as community workshops and through publication in peer-reviewed journals and presentation at scientific conferences.",2025,Stephen Malden; Craig W McDougall; Catharine Ward Thompson; Charlotte Wendelboe-Nelson; Antonio Ross-Perez; Tom Clemens; Sammy Mason; Roberto Villegas-Diaz; Alexandra Hoadley; Alex Hunter; Ruth Jepson; Andrew J Williams,BMJ open
40973271,Hydrophobic surface modified calcium alginate fibers for preparing flame retardant and comfortable Janus fabrics.,"With the increasing violent fluctuations in temperature and humidity, alongside rising fire risks triggered by global climate change, the development of multifunctional textile materials that integrate both humidity regulation and flame-retardant protection has become crucial for ensuring human health and safety. In this paper, the hydrophobic modification of calcium alginate (CA) fibers was successfully carried out by wet spinning technology combined with an impregnation modification process. After surface modification with fluorocarbon (FC) resin, the WCA of CA-FC fibers was increased from 32 ± 0.5° to 120.5 ± 1°, achieving a successful transition of natural polysaccharide fibers from hydrophilicity to hydrophobicity. Furthermore, the inherent flame-retardant properties of FC resin synergistically enhanced the flame-retardant performance of CA fibers. Leveraging the wettability gradient, a multifunctional protective fabric with both unidirectional water conductivity and flame retardancy was developed by compounding hydrophobically modified CA-FC fibers with unmodified CA fibers. The wettability gradient between the hydrophilic CA side and hydrophobic FC side provided a robust driving force for moisture transport, enabling the Janus-CA-FC (JCF) fabrics to achieve rapid unidirectional water transport while maintaining excellent flame-retardant performance. This study lays the foundation for the development of multifunctional protective fabrics with flame retardancy and humidity management based on natural polysaccharide materials.",2025,Yue Ma; Zihan Wu; Meijie Qu; Ru Chen; Jing Guo; Yuezhen Bin,Carbohydrate polymers
40973193,Sustainable Water Footprint Management in Agriculture: A Review of Linear Programming-Based Models and Future Directions.,"The sustainable management of water resources in agriculture is a global imperative as climate change, population growth, and competing demands increasingly strain freshwater systems. This review systematically analyzes 58 peer-reviewed studies that utilize linear programming (LP) and its advanced variants to optimize agricultural water use, with a specific emphasis on improving water footprint (WF) efficiency. Applications are categorized into three core domains: crop allocation and land use, irrigation scheduling, and economic optimization. The findings reveal that while LP continues to dominate, alternative models-such as mixed-integer programming (MILP), weighted and fuzzy goal programming (WGP, FGP), and fractional programming-are gaining traction for their ability to address real-world complexities and multi-objective decision environments. However, critical gaps remain, particularly in the integration of WF indicators, climate variability, and socio-economic dynamics. This review not only maps the existing optimization landscape but also proposes a forward-looking research agenda. Key directions include the development of hybrid models, the explicit incorporation of WF metrics into objective functions, and the integration of decision-support systems for policy and farm-level planning. WF-aware optimization is thus positioned not merely as a technical instrument, but as a transformative tool for advancing agricultural sustainability-enhancing resilience, equity, and ecological stewardship in water-scarce regions and beyond.",2025,Amjad Mizyed,Integrated environmental assessment and management
40973152,Methanol to Polypropylene: Life Cycle Assessment and a Preliminary Social Impact Analysis.,"Life Cycle Assessment (LCA) and Social Life Cycle Assessment (S-LCA) are currently essential tools for evaluating the sustainability of products and industrial systems. While LCA is systematically applied today and is considered a stable methodology, supported by material-specific guidelines and rich databases, S-LCA remains immature in certain aspects. In the presented case study, LCA was applied to compare 11 methanol synthesis processes, all based on reverse Water-Gas Shift, but characterised by different sources of CO2 and H2 supply, to identify the most promising. Accordingly, the model was then integrated with that of propylene production (methanol to propylene-MtP), identified as a molecule of interest for the current and future market. Then, the authors propose an innovative approach to enhance the application of S-LCA in the industrial chemistry sector. The climate change impact of the different methanol production scenarios varies significantly: the most impactful is the methanol synthesis via coal gasification (2.76 kg CO2 eq), while the most promising are via CO2 generated by wood chips waste or dedicated biomass by employing hydrogen produce with wind electrolysis which show the negative impacts of -0.40 kg CO2 eq thanks to cogeneration and the use of hydrogen from renewable sources. On the social level, the database shows a preference for productions occurring in Europe, across all the categories analyzed. The proposal of a sector-specific guideline represents a step forward that could facilitate the future application of the methodology. Moreover, the integration of LCA and S-LCA proves effective in delivering a richer and more comprehensive understanding of the issues addressed, offering valuable insights for stakeholders. The LCA should be applied to assess the environmental sustainability of alternative production routes in chemical processes, while the complexity of Social-LCA can be mitigated by initiating preliminary assessments.",2025,Alice Vardaro; Francesco Arfelli; Fabrizio Passarini; Daniele Cespi,Integrated environmental assessment and management
40973063,"Development of genetic tools for the sea anemone Aiptasia, a model system for coral biology.","The reef-building corals can thrive in nutrient-poor waters because of the mutualistic symbiosis between the animal hosts and their photosynthetic dinoflagellate endosymbionts. This symbiosis is threatened by climate change and other anthropogenic stressors, so that a deeper mechanistic understanding of its function is not only of great basic biological interest but also crucial for developing rational approaches to coral conservation. The small sea anemone Aiptasia is an attractive model system for studies of this symbiosis but has been limited to date by a lack of effective genetic methods. Here, we describe the use of a simple electroporation protocol to introduce various genetic constructs [plasmid DNAs, mRNAs, and short-hairpin (sh) RNAs] into Aiptasia zygotes. Plasmid-based expression of reporter constructs in the resulting larvae was highly mosaic. In contrast, electroporation of mRNAs into zygotes resulted in uniform expression within the larvae, and success rates were similar when single or multiple mRNAs were introduced. The shRNAs were effective in knocking down expression of both co-electroporated mRNAs and endogenous genes. In this way, we could confirm the previously reported role of BRACHYURY in cnidarian embryonic development. In addition, we could show that knockdown of an Aiptasia homologue of the lysosomal-associated membrane protein 1 (Lamp1) interfered with larval uptake and/or retention of a symbiosis-compatible algal strain. The ability to use Aiptasia larvae for such reverse-genetic studies should greatly enhance the power of this model system and serve as a starting point for further development of genetic tools in Aiptasia and other cnidarians.",2025,Christian Renicke; Natalie Swinhoe; Catherine Henderson; Emily Meier; Lorraine Ling; Geraldine L Keat; Shumpei Maruyama; Maitri Rangarajan-Paul; John R Pringle; Phillip A Cleves,Genetics
40972701,Cascading Tipping Points of Mercury Dynamics in Coastal Sediments: Anthropogenic-Enhanced Deposition vs. Warming-Driven Remobilization.,"Coastal sediments in rapidly urbanizing semi-enclosed bays act as critical yet vulnerable mercury (Hg) reservoirs, where converging anthropogenic and climatic pressures are pushing the Hg held within towards a critical tipping point, consequently threatening public and ecosystem health. This study deciphers the two-decadal sediment Hg dynamics in Jiaozhou Bay (JZB, Yellow Sea) through field sampling and historical data analysis (2002-2021), revealing that surficial sediment Hg in eastern nearshore hotspots decreased significantly between 2002 and 2018 (p < 0.05), followed by a rebound at a rate of 23 ± 5 ng/g/yr post-2018 (p < 0.05). Urbanization Impact Factor (UIF) and Hg/total organic carbon (TOC) ratios identified high-intensity urbanization as the primary enrichment driver, modulated by selenium (Se), organic matter (OM), redox conditions, and salinity. Crucially, nearshore Hg exhibited temperature sensitivity, negatively correlated with seasonal warming (winter: R<sup>2</sup> = 0.94, p < 0.05; spring: R<sup>2</sup> = 0.99, p < 0.001)-potentially reflecting a climate feedback that enhances legacy Hg remobilization. Projections that combine post-2018 accumulation rates with the negative thermal feedback suggest that, under human-climate pressures, nearshore ""new Hg"" could reach levels approximately one order of magnitude higher than those at present by 2100. Monte Carlo simulations predicted moderate contamination (I<sub>geo</sub>) risk under extreme scenarios. This dual forcing mechanism-urbanization-driven sequestration versus climate-triggered re-release-highlights the need for integrated management strategies to prevent coastal sediment Hg from approaching cascading tipping points.",2025,Xiangyu Kong; Jing Zhang; Qian Liu; Yanbin Li; Qian He,"Environmental pollution (Barking, Essex : 1987)"
40972622,"Associations of ambient exposure to benzene, toluene, ethylbenzene, and xylene with daily mortality: a multicountry time-series study in 757 global locations.","The presence of benzene, toluene, ethylbenzene, and xylene isomers (BTEX) in the environment is of increasing concern due to their toxicity and ubiquity. Although the adverse health effects of BTEX exposure have been documented, robust epidemiological evidence from large-scale, multicountry studies using advanced exposure assessment methodologies remains scarce. We aimed to assess the association of short-term ambient exposure to individual BTEX components and their mixture with daily total, cardiovascular, and respiratory mortality on a global scale. Daily data on mortality, meteorological factors, and air pollution were collected from 757 locations across 46 countries or regions. Data on individual chemicals (ie, benzene, toluene, xylenes [summation of ethylbenzene, m-xylene, p-xylene, and o-xylene]) and the aggregate mixture (ie, BTEX) were estimated using a chemistry-climate model. We examined the short-term associations of each individual chemical as well as the BTEX mixture with daily total, cardiovascular, and respiratory mortality in a multicountry framework. Using a two-stage time-series design, we first applied generalised additive models with a quasi-Poisson distribution to obtain location-specific associations, which were subsequently pooled using random-effects meta-analysis. Two-pollutant models were used to assess the independent effects of BTEX after adjusting for co-pollutants (PM<sub>2·5</sub>, PM<sub>10</sub>, nitrogen dioxide, sulphur dioxide, ozone, and carbon monoxide). Additionally, we assessed the overall exposure-response curves with spline terms. An IQR increment of BTEX concentration on lag 0-2 days (3-day moving average of the present day and the previous 2 days) was associated with increases of 0·57% (95% CI 0·49-0·65), 0·42% (0·30-0·54), and 0·68% (0·50-0·86) in total, cardiovascular, and respiratory mortality, respectively. The corresponding effect estimates for an IQR increment in individual chemicals (benzene, toluene, and xylenes) were 0·38-0·61%, 0·44-0·70%, and 0·41-0·65%, respectively. The associations remained significant after adjusting for co-pollutants, with a general decline in magnitude, except for a slight increase after adjustment for ozone. The shape of the exposure-response curves for all pollutants and causes of death was almost linear, with steeper slopes at low concentrations and no discernible thresholds. This global study provides novel evidence linking short-term exposure to ambient BTEX, both individually and as a mixture, with increased daily total, cardiovascular, and respiratory mortality. Our findings underscore the need for comprehensive air pollution mitigation policies, including stringent controls on BTEX emissions, to protect public health. Noncommunicable Chronic Diseases-National Science and Technology Major Project, National Natural Science Foundation of China, Shanghai Municipal Science and Technology Major Project, Shanghai B&R Joint Laboratory Project, and Shanghai International Science and Technology Partnership Project.",2025,Lu Zhou; Ying Xiong; Francesco Sera; Ana Maria Vicedo-Cabrera; Rosana Abrutzky; Yuming Guo; Shilu Tong; Micheline de Sousa Zanotti Stagliorio Coelho; Paulo Hilario Nascimento Saldiva; Eric Lavigne; Patricia Matus Correa; Nicolás Valdés Ortega; Samuel Osorio; Dominic Roye; Jan Kyselý; Hans Orru; Marek Maasikmets; Jouni J K Jaakkola; Niilo Ryti; Mathilde Pascal; Veronika Huber; Susanne Breitner-Busch; Alexandra Schneider; Klea Katsouyanni; Evangelia Samoli; Alireza Entezari; Fatemeh Mayvaneh; Patrick Goodman; Ariana Zeka; Raanan Raz; Matteo Scortichini; Massimo Stafoggia; Yasushi Honda; Masahiro Hashizume; Chris Fook Sheng Ng; Barrak Alahmad; Magali Hurtado Diaz; Eunice Elizabeth Félix Arellano; Ala Overcenco; Jochem Klompmaker; Shilpa Rao; Gabriel Carrasco; Xerxes Seposo; Paul Lester Carlos Chua; Susana das Neves Pereira da Silva; Joana Madureira; Iulian-Horia Holobaca; Noah Scovronick; Rebecca M Garland; Ho Kim; Whanhee Lee; Aurelio Tobias; Carmen Íñiguez; Bertil Forsberg; Martina S Ragettli; Yue Leon Guo; Shih-Chun Pan; Shanshan Li; Pierre Masselot; Valentina Colistro; Michelle Bell; Antonella Zanobetti; Joel Schwartz; Tran Ngoc Dang; Do Van Dung; Antonio Gasparrini; Yaoxian Huang; Haidong Kan,The Lancet. Planetary health
